	Index	Count	site_country_code	admin_project_code	admin_data_partner	admin_project_contact	bldg_use_type	bldg_use_subtype	bldg_project_status	site_country	bldg_year_permit	bldg_year_complete	bldg_year_complete_interval	bldg_QTO_type	bldg_area_definition	bldg_area_gfa	bldg_area_hfa	bldg_area_interval	bldg_users_total	bldg_floors_ag	bldg_floors_ag_interval	bldg_floors_bg	bldg_struct_type	bldg_roof_type	bldg_energy_class_general	bldg_energy_class_country	bldg_certification	inv_energy_consumption	inv_mat_mass_total	inv_mat_mass_total_m2	inv_mat_mass_total_capita	inv_mat_mass_sum_top_5	inv_mat_mass_ratio	inv_mat_1_type	inv_mat_1_mass	inv_mat_2_type	inv_mat_2_mass	inv_mat_3_type	inv_mat_3_mass	inv_mat_4_type	inv_mat_4_mass	inv_mat_5_type	inv_mat_5_mass	mass_aluminium	mass_bamboo	mass_brass_copper	mass_cement_mortar	mass_ceramics	mass_concrete_reinforced	mass_concrete_wo_reinforcement	mass_earth	mass_EPS_XPS	mass_fungi	mass_glass	mass_metals	mass_plastics	mass_steel_reinforcement	mass_stone	mass_stone_wool	mass_straw_hemp	mass_wood	mass_other	mass_eurostat_metal_materials	mass_eurostat_non-metallic_minerals	mass_eurostat_fossil_energy_materials	mass_eurostat_biomass_based_materials	lca_RSP	lca_software	lca_database	lca_scenarios_decarbonisation	scope_parts	scope_LCS	scope_LCM	scope_parts_1_ground	scope_parts_2_structure	scope_parts_3_secondary	scope_parts_4_finishes	scope_parts_5_mechanical	scope_parts_6_electrical	scope_parts_6+_renewables	scope_parts_7_facilities	scope_parts_8_fittings	scope_LCS_A123	scope_LCS_A4	scope_LCS_A5	scope_LCS_B1	scope_LCS_B2	scope_LCS_B3	scope_LCS_B4	scope_LCS_B5	scope_LCS_B6	scope_LCS_B7	scope_LCS_B8	scope_LCS_C1	scope_LCS_C2	scope_LCS_C3	scope_LCS_C4	scope_LCS_D	scope_handling_D	GHG_sum_em	GHG_sum_em_m2a	GHG_sum_em_capita_a	GHG_A_m2a	GHG_B_em_m2a	GHG_B_op_m2a	GHG_C_m2a	GHG_A_capita_a	GHG_B_em_capita_a	GHG_B_op_capita_a	GHG_C_capita_a	GHG_A1_m2a	GHG_A2_m2a	GHG_A3_m2a	GHG_A4_m2a	GHG_A5_m2a	GHG_B1_m2a	GHG_B2_m2a	GHG_B3_m2a	GHG_B4_m2a	GHG_B6_m2a	GHG_B7_m2a	GHG_C1_m2a	GHG_C2_m2a	GHG_C3_m2a	GHG_C4_m2a	GHG_A123_m2a	GHG_A45_m2a	GHG_B1234_m2a	GHG_B5_m2a	GHG_B67_m2a	GHG_C12_m2a	GHG_C34_m2a	GHG_D_m2a	GHG_A123_m2a_APEN	GHG_A45_m2a_APEN	GHG_B1234_m2a_APEN	GHG_B5_m2a_APEN	GHG_B67_m2a_APEN	GHG_C12_m2a_APEN	GHG_C34_m2a_APEN	GHG_D_m2a_APEN	GHG_sum_em_m2a_APEN	GHG_sum_op_m2a_APEN	GHG_A123_m2a_harm	GHG_A45_m2a_harm	GHG_B1234_m2a_harm	GHG_B5_m2a_harm	GHG_B67_m2a_harm	GHG_C12_m2a_harm	GHG_C34_m2a_harm	GHG_sum_em_m2a_harm	GHG_A123_m2a_harm_LCM	GHG_A45_m2a_harm_LCM	GHG_B1234_m2a_harm_LCM	GHG_B5_m2a_harm_LCM	GHG_C12_m2a_harm_LCM	GHG_C34_m2a_harm_LCM	GHG_P1_sum_m2a	GHG_P1_A123_m2a	GHG_P1_A45_m2a	GHG_P1_B1234_m2a	GHG_P1_B5_m2a	GHG_P1_C12_m2a	GHG_P1_C34_m2a	GHG_P1_D_m2a	GHG_P2_sum_m2a	GHG_P2_A123_m2a	GHG_P2_A45_m2a	GHG_P2_B1234_m2a	GHG_P2_B5_m2a	GHG_P2_C12_m2a	GHG_P2_C34_m2a	GHG_P2_D_m2a	GHG_P34_sum_m2a	GHG_P34_A123_m2a	GHG_P34_A45_m2a	GHG_P34_B1234_m2a	GHG_P34_B5_m2a	GHG_P34_C12_m2a	GHG_P34_C34_m2a	GHG_P34_D_m2a	GHG_P4_sum_m2a	GHG_P4_A123_m2a	GHG_P4_A45_m2a	GHG_P4_B1234_m2a	GHG_P4_B5_m2a	GHG_P4_C12_m2a	GHG_P4_C34_m2a	GHG_P4_D_m2a	GHG_P56_sum_m2a	GHG_P56_A123_m2a	GHG_P56_A45_m2a	GHG_P56_B1234_m2a	GHG_P56_B5_m2a	GHG_P56_C12_m2a	GHG_P56_C34_m2a	GHG_P56_D_m2a	GHG_P78_sum_m2a	GHG_P78_A123_m2a	GHG_P78_A45_m2a	GHG_P78_B1234_m2a	GHG_P78_B5_m2a	GHG_P78_C12_m2a	GHG_P78_C34_m2a	GHG_P78_D_m2a	GHG_sum_em_m2pertonGHG_a	GHG_sum_em_m2pertonGHG	GHG_sum_op_m2pertonGHG_a	GHG_sum_op_m2pertonGHG	GHG_sum_em_cappertonGHG_a	GHG_sum_em_cappertonGHG	GHG_sum_op_cappertonGHG_a	GHG_sum_op_cappertonGHG	ratio_A123_LCM	ratio_A45_LCM	ratio_B1234_LCM	ratio_B5_LCM	ratio_C12_LCM	ratio_C34_LCM	ratio_A123_parts	ratio_A45_parts	ratio_B1234_parts	ratio_B5_parts	ratio_C12_parts	ratio_C34_parts	mass_Eurostat_Metals	mass_Eurostat_CCA	mass_Eurostat_Non-CCA-minerals	mass_Eurostat_Bio-based	mass_Eurostat_Other-materials	mass_total_mats	mass_total_eurostat	mi_aluminium	mi_bamboo	mi_brass_copper	mi_cement_mortar	mi_ceramics	mi_concrete_reinforced	mi_concrete_wo_reinforcement	mi_earth	mi_EPS_XPS	mi_fungi	mi_glass	mi_metals	mi_plastics	mi_steel_reinforcement	mi_stone	mi_stone_wool	mi_straw_hemp	mi_wood	mi_other	mi_eurostat_metal_materials	mi_eurostat_non-metallic_minerals	mi_eurostat_fossil_energy_materials	mi_eurostat_biomass_based_materials	mi_Eurostat_Metals	mi_Eurostat_CCA	mi_Eurostat_Non-CCA-minerals	mi_Eurostat_Bio-based	mi_Eurostat_Other-materials	source_code	meta_source	meta_authors	meta_year	meta_title	meta_journal	meta_DOI_URL	site_region_local	site_climate_zone	site_seismic_hazard	site_region_world	bldg_project_type	bldg_area_value	bldg_area_specification	bldg_height	bldg_volume_gbv	bldg_area_envelope	bldg_area_windows	bldg_area_walls_ext	bldg_footprint	bldg_orientation	bldg_attached_faces	bldg_ratio_window_to_wall	bldg_shape_factor	bldg_ratio_window_to_floor	bldg_ratio_wall_ext_to_floor	bldg_wall_internal_type	bldg_wall_internal_area	bldg_construction_method	bldg_wall_ext_uvalue	bldg_roof_uvalue	bldg_inertia	bldg_energy_provision	bldg_energy_sources	bldg_energy_distribution	bldg_bipv_description	inv_energy_consumption_description	lca_goal_scope	lca_reference_unit	lca_functional_unit	lca_database_version	lca_database_other	lca_lcia_method	lca_model_type	inv_energy_consumption_type	scope_LCS_B6_heating	scope_LCS_B6_ventilation	scope_LCS_B6_cooling	scope_LCS_B6_DHW	scope_LCS_B6_lighting	scope_LCS_B6_appliances	lca_indicators_other	CED_EE_m2a	CED_OE_m2a	CED_A1-3_m2a	CED_A4-5_m2a	CED_B1-4_m2a	CED_B5_m2a	CED_B6-7_m2a	CED_C1-2_m2a	CED_C3-4_m2a	CED_D_m2a	CED_EE_share	CED_OE_share	GHG_EC_share	GHG_OC_share	CED_EE_m2a_APEN	CED_OE_m2a_APEN	CED_A1-3_m2a_APEN	CED_A4-5_m2a_APEN	CED_B1-4_m2a_APEN	CED_B5_m2a_APEN	CED_B6-7_m2a_APEN	CED_C1-2_m2a_APEN	CED_C3-4_m2a_APEN	CED_D_m2a_APEN
0	0	1	DK	BUILD01	BUILD	BUILD	Non-residential	Other	New Built	Denmark	n/a	n/a	2015-2019	As-built measurement	Denmark (BR18)	n/a	n/a	15001-20000	n/a	n/a	No data	n/a	No data	No data	New Standard	2015	No certification	n/a	53200000	n/a	n/a	n/a	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	50	LCAbyg	Oekobau.dat	No	GLES	ABCD	PMOW	Yes	Yes	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	Yes	Yes	Yes	separately considered	n/a	8.09	n/a	4.03	2.41	3.5	1.65	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.41	3.5	n/a	n/a	n/a	1.55	0.1	4.03	n/a	2.41	n/a	3.5	n/a	1.65	-1.17	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.03	n/a	2.41	n/a	3.5	n/a	1.65	8.09	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	123.6093943	2.472187886	285.7142857	5.714285714	n/a	n/a	n/a	n/a	0.498145859	n/a	0.29789864	n/a	n/a	0.203955501	0.498145859	n/a	0.29789864	n/a	n/a	0.203955501	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	Europe	no data	n/a	No data	n/a	n/a	n/a	No data	n/a	n/a	No data	n/a	n/a	n/a	n/a	n/a	No data	n/a	no data	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1	1	1	DK	BUILD02	BUILD	BUILD	Non-residential	Other	New Built	Denmark	n/a	n/a	2015-2019	As-built measurement	Denmark (BR18)	n/a	n/a	15001-20000	n/a	n/a	No data	n/a	No data	No data	New Standard	2015	No certification	n/a	24000000	n/a	n/a	n/a	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	50	LCAbyg	Oekobau.dat	No	GLEIS	ABCD	PMOW	Yes	Yes	Yes	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	Yes	Yes	Yes	separately considered	n/a	6.29	n/a	1.73	1.91	3.5	2.65	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.91	3.5	n/a	n/a	n/a	2.58	0.07	1.73	n/a	1.91	n/a	3.5	n/a	2.65	-1.5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.73	n/a	1.91	n/a	3.5	n/a	2.65	6.29	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	158.9825119	3.179650238	285.7142857	5.714285714	n/a	n/a	n/a	n/a	0.275039746	n/a	0.303656598	n/a	n/a	0.421303657	0.275039746	n/a	0.303656598	n/a	n/a	0.421303657	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	Europe	no data	n/a	No data	n/a	n/a	n/a	No data	n/a	n/a	No data	n/a	n/a	n/a	n/a	n/a	No data	n/a	no data	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	2	1	DK	BUILD03	BUILD	BUILD	Non-residential	Other	New Built	Denmark	n/a	n/a	2015-2019	As-built measurement	Denmark (BR18)	9819	9819	5001-10000	n/a	n/a	No data	n/a	No data	No data	New Advanced	2020	No certification	n/a	12500000	1273.042061	n/a	n/a	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	50	LCAbyg	Oekobau.dat	No	GLEIS	ABCD	PMOW	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	Yes	Yes	Yes	separately considered	n/a	9.8	n/a	8.35	0.65	2.67	0.8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.65	2.67	n/a	n/a	n/a	0.58	0.22	8.35	n/a	0.65	n/a	2.67	n/a	0.8	-3.85	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.35	n/a	0.65	n/a	2.67	n/a	0.8	9.8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	102.0408163	2.040816327	374.5318352	7.490636704	n/a	n/a	n/a	n/a	0.852040816	n/a	0.066326531	n/a	n/a	0.081632653	0.852040816	n/a	0.066326531	n/a	n/a	0.081632653	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	Europe	no data	n/a	No data	n/a	n/a	n/a	No data	n/a	n/a	No data	n/a	n/a	n/a	n/a	n/a	No data	n/a	no data	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	3	1	DK	BUILD04	BUILD	BUILD	Non-residential	Other	New Built	Denmark	n/a	n/a	2015-2019	As-built measurement	Denmark (BR18)	19518	19518	15001-20000	n/a	n/a	No data	n/a	No data	No data	New Standard	2015	No certification	n/a	27800000	1424.326263	n/a	n/a	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	50	LCAbyg	Oekobau.dat	No	GLEIS	ABCD	PMOW	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	Yes	Yes	Yes	separately considered	n/a	7.3	n/a	6.18	0.7	2.69	0.42	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.7	2.69	n/a	n/a	n/a	0.22	0.2	6.18	n/a	0.7	n/a	2.69	n/a	0.42	-1.53	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6.18	n/a	0.7	n/a	2.69	n/a	0.42	7.3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	136.9863014	2.739726027	371.7472119	7.434944238	n/a	n/a	n/a	n/a	0.846575342	n/a	0.095890411	n/a	n/a	0.057534247	0.846575342	n/a	0.095890411	n/a	n/a	0.057534247	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	Europe	no data	n/a	No data	n/a	n/a	n/a	No data	n/a	n/a	No data	n/a	n/a	n/a	n/a	n/a	No data	n/a	no data	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	4	1	DK	BUILD05	BUILD	BUILD	Residential	Multi-family house	New Built	Denmark	n/a	n/a	2015-2019	As-built measurement	Denmark (BR18)	n/a	n/a	10001-15000	n/a	n/a	No data	n/a	No data	No data	New Standard	2015	DGNB	n/a	19800000	n/a	n/a	n/a	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	50	LCAbyg	Oekobau.dat	No	GLEIS	ABCD	PMOW	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	Yes	Yes	Yes	separately considered	n/a	6.19	n/a	4.9	0.39	2.09	0.9	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.39	2.09	n/a	n/a	n/a	0.7	0.2	4.9	n/a	0.39	n/a	2.09	n/a	0.9	-1.16	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.9	n/a	0.39	n/a	2.09	n/a	0.9	6.19	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	161.5508885	3.231017771	478.4688995	9.56937799	n/a	n/a	n/a	n/a	0.791599354	n/a	0.063004847	n/a	n/a	0.1453958	0.791599354	n/a	0.063004847	n/a	n/a	0.1453958	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	Europe	no data	n/a	No data	n/a	n/a	n/a	No data	n/a	n/a	No data	n/a	n/a	n/a	n/a	n/a	No data	n/a	no data	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5	5	1	DK	BUILD06	BUILD	BUILD	Residential	Multi-family house	New Built	Denmark	n/a	n/a	2015-2019	As-built measurement	Denmark (BR18)	n/a	n/a	10001-15000	n/a	n/a	No data	n/a	No data	No data	New Advanced	2020	DGNB	n/a	17400000	n/a	n/a	n/a	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	50	LCAbyg	Oekobau.dat	No	GLEIS	ABCD	PMOW	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	Yes	Yes	Yes	separately considered	n/a	6.65	n/a	5.4	0.4	2.09	0.85	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.4	2.09	n/a	n/a	n/a	0.35	0.5	5.4	n/a	0.4	n/a	2.09	n/a	0.85	-1.21	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.4	n/a	0.4	n/a	2.09	n/a	0.85	6.65	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	150.3759398	3.007518797	478.4688995	9.56937799	n/a	n/a	n/a	n/a	0.812030075	n/a	0.060150376	n/a	n/a	0.127819549	0.812030075	n/a	0.060150376	n/a	n/a	0.127819549	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	Europe	no data	n/a	No data	n/a	n/a	n/a	No data	n/a	n/a	No data	n/a	n/a	n/a	n/a	n/a	No data	n/a	no data	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6	6	1	DK	BUILD07	BUILD	BUILD	Residential	Multi-family house	New Built	Denmark	n/a	n/a	2015-2019	As-built measurement	Denmark (BR18)	n/a	n/a	10001-15000	n/a	n/a	No data	n/a	No data	No data	New Standard	2015	DGNB	n/a	18200000	n/a	n/a	n/a	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	No data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	50	LCAbyg	Oekobau.dat	No	GLEIS	ABCD	PMOW	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	No	Yes	Yes	Yes	separately considered	n/a	6.26	n/a	5.11	0.62	2.58	0.53	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.62	2.58	n/a	n/a	n/a	0.36	0.17	5.11	n/a	0.62	n/a	2.58	n/a	0.53	-0.75	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.11	n/a	0.62	n/a	2.58	n/a	0.53	6.26	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	159.7444089	3.194888179	387.5968992	7.751937984	n/a	n/a	n/a	n/a	0.81629393	n/a	0.099041534	n/a	n/a	0.084664537	0.81629393	n/a	0.099041534	n/a	n/a	0.084664537	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	Europe	no data	n/a	No data	n/a	n/a	n/a	No data	n/a	n/a	No data	n/a	n/a	n/a	n/a	n/a	No data	n/a	no data	n/a	n/a	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
