meta_DOI_URL;meta_authors;meta_year;meta_title;meta_journal;site_country;site_country_iso2;site_region_local;site_climate_zone;site_seismic_hazard;site_region_geoscheme;bldg_use_type;bldg_use_subtype;bldg_project_type;bldg_project_status;bldg_year_complete;bldg_year_complete_interval;bldg_users_total;bldg_area_definition;bldg_area_gfa;bldg_area_interval;bldg_floors_ag;bldg_floors_ag_interval;bldg_floors_bg;bldg_roof_type;bldg_area_value;bldg_area_specification;bldg_height;bldg_footprint;bldg_energy_class_general;bldg_energy_class_country;bldg_QTO_type;bldg_struct_type;lca_goal_scope;lca_reference_unit;lca_functional_unit;lca_RSP;lca_software;lca_database;lca_database_version;lca_database_other;lca_lcia_method;lca_model_type;scope_parts_1_ground;scope_parts_2_structure;scope_parts_3_secondary;scope_parts_4_finishes;scope_parts_5_mechanical;scope_parts_6_electrical;scope_parts_6+_renewables;scope_parts_7_facilities;scope_parts_8_fittings;scope_LCS_A123;scope_LCS_A4;scope_LCS_A5;scope_LCS_B1;scope_LCS_B2;scope_LCS_B3;scope_LCS_B4;scope_LCS_B5;scope_LCS_B6;scope_LCS_B7;scope_LCS_C1;scope_LCS_C2;scope_LCS_C3;scope_LCS_C4;scope_LCS_D;scope_handling_D;scope_LCS_B6_heating;scope_LCS_B6_ventilation;scope_LCS_B6_cooling;scope_LCS_B6_DHW;scope_LCS_B6_lighting;scope_LCS_B6_appliances;inv_energy_consumption;inv_energy_consumption_description;inv_energy_consumption_type;inv_mat_mass_total;inv_mat_mass_total_m2;inv_mat_mass_total_capita;inv_mat_mass_sum_top_5;inv_mat_mass_ratio;inv_mat_1_type;inv_mat_1_mass;inv_mat_2_type;inv_mat_2_mass;inv_mat_3_type;inv_mat_3_mass;inv_mat_4_type;inv_mat_4_mass;inv_mat_5_type;inv_mat_5_mass;mi_aluminium;mi_bamboo;mi_brass_copper;mi_cement_mortar;mi_ceramics;mi_concrete_reinforced;mi_concrete_wo_reinforcement;mi_earth;mi_EPS_XPS;mi_fungi;mi_glass;mi_metals;mi_plastics;mi_steel_reinforcement;mi_stone;mi_stone_wool;mi_straw_hemp;mi_wood;mi_other;mi_fr_aluminum;mi_fr_wood;mi_fr_copper;mi_fr_concrete;mi_fr_brick;mi_fr_plastics;mi_fr_glass;mi_fr_steel;mi_fr_other;mi_eurostat_metal_materials;mi_eurostat_non-metallic_minerals;mi_eurostat_fossil_energy_materials;mi_eurostat_biomass_based_materials;mi_hf_metals;mi_hf_cca;mi_hf_non-cca-minerals;mi_hf_bio-based;mi_hf_other-materials;GHG_sum_em_m2a;GHG_EC_share;GHG_OC_share;GHG_A123_m2a;GHG_A45_m2a;GHG_B1234_m2a;GHG_B67_m2a;GHG_C12_m2a;GHG_C34_m2a;GHG_A123_m2a_harm;GHG_A45_m2a_harm;GHG_B1234_m2a_harm;GHG_B67_m2a_harm;GHG_C12_m2a_harm;GHG_C34_m2a_harm;GHG_sum_em_m2a_harm;GHG_sum_em_capita_a;GHG_A_capita_a;GHG_B_em_capita_a;GHG_B_op_capita_a;GHG_C_capita_a;GHG_P1_sum_m2a;GHG_P2_sum_m2a;GHG_P34_sum_m2a;GHG_P4_sum_m2a;bldg_area_per_user
10.1016/j.enbuild.2016.04.014;"Passer, A
Ouellet-Plamondon, C
P. Kenneally, P
V. John, V
G. Habert, G";2016;The impact of future scenarios on building refurbishment strategies towards plus energy buildings;Energy and Buildings;Austria;AT;Kapfenberg, Styria, Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;New construction;New Built;1961.0;1960-1964;;Other;2845.0;1-5000;4.0;1-6;1.0;Single pitched roof;2845.0;m2 GFA;;650.0;New Standard;No data;No data;frame concrete;compare different refurbishment strategies over a reference period of 60 years;other;1m2 energy reference area per year;60.0;SimaPro;Ecoinvent;v2.2;No data;ISO 14040 and 14044 and EN 15985;Process-based;No;No data;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;No;No;Yes;Yes;Yes;97.43;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.10833333333333;32.48272195640617;67.51727804359383;;;;;;;;;;;;;;;;;;;;;;;
10.1016/j.enbuild.2016.04.013;"Passer, A
Ouellet-Plamondon, C
P. Kenneally, P
V. John, V
G. Habert, G";2016;The impact of future scenarios on building refurbishment strategies towards plus energy buildings;Energy and Buildings;Austria;AT;Kapfenberg, Styria, Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;New construction;New Built;1961.0;1960-1964;;Other;2845.0;1-5000;4.0;1-6;1.0;Single pitched roof;2845.0;m2 GFA;;650.0;New Standard;No data;No data;frame concrete;compare different refurbishment strategies over a reference period of 60 years;other;1m2 energy reference area per year;60.0;SimaPro;Ecoinvent;v2.2;No data;ISO 14040 and 14044 and EN 15984;Process-based;No;No data;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;No;No;Yes;Yes;Yes;97.43;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.60833333333333;35.21517815826007;64.78482184173994;;;;;;;;;;;;;;;;;;;;;;;
10.1016/j.enbuild.2016.04.012;"Passer, A
Ouellet-Plamondon, C
P. Kenneally, P
V. John, V
G. Habert, G";2016;The impact of future scenarios on building refurbishment strategies towards plus energy buildings;Energy and Buildings;Austria;AT;Kapfenberg, Styria, Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;New construction;New Built;1961.0;1960-1964;;Other;2845.0;1-5000;4.0;1-6;1.0;Single pitched roof;2845.0;m2 GFA;;650.0;New Standard;No data;No data;frame concrete;compare different refurbishment strategies over a reference period of 60 years;other;1m2 energy reference area per year;60.0;SimaPro;Ecoinvent;v2.2;No data;ISO 14040 and 14044 and EN 15983;Process-based;No;No data;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;No;No;Yes;Yes;Yes;97.43;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.36666666666666;41.15063680281072;58.84936319718928;;;;;;;;;;;;;;;;;;;;;;;
10.1016/j.enbuild.2016.04.011;"Passer, A
Ouellet-Plamondon, C
P. Kenneally, P
V. John, V
G. Habert, G";2016;The impact of future scenarios on building refurbishment strategies towards plus energy buildings;Energy and Buildings;Austria;AT;Kapfenberg, Styria, Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;New construction;New Built;1961.0;1960-1964;;Other;2845.0;1-5000;4.0;1-6;1.0;Single pitched roof;2845.0;m2 GFA;;650.0;New Standard;No data;No data;frame concrete;compare different refurbishment strategies over a reference period of 60 years;other;1m2 energy reference area per year;60.0;SimaPro;Ecoinvent;v2.2;No data;ISO 14040 and 14044 and EN 15982;Process-based;No;No data;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;No;No;Yes;Yes;Yes;97.43;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.9;42.578125;57.42187499999999;;;;;;;;;;;;;;;;;;;;;;;
10.1016/j.enbuild.2016.04.016;"Passer, A
Ouellet-Plamondon, C
P. Kenneally, P
V. John, V
G. Habert, G";2016;The impact of future scenarios on building refurbishment strategies towards plus energy buildings;Energy and Buildings;Austria;AT;Kapfenberg, Styria, Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;New construction;New Built;1961.0;1960-1964;;Other;2845.0;1-5000;4.0;1-6;1.0;Single pitched roof;2845.0;m2 GFA;;650.0;New Advanced;No data;No data;frame concrete;compare different refurbishment strategies over a reference period of 60 years;other;1m2 energy reference area per year;60.0;SimaPro;Ecoinvent;v2.2;No data;ISO 14040 and 14044 and EN 15987;Process-based;No;No data;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;Yes;No;Yes;Yes;Yes;14.15;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.46666666666666;12.17895608947805;87.82104391052195;;;;;;;;;;;;;;;;;;;;;;;
10.1016/j.enbuild.2016.04.009;"Passer, A
Ouellet-Plamondon, C
P. Kenneally, P
V. John, V
G. Habert, G";2016;The impact of future scenarios on building refurbishment strategies towards plus energy buildings;Energy and Buildings;Austria;AT;Kapfenberg, Styria, Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;Existing building;In use;1961.0;1960-1964;;Other;2845.0;1-5000;4.0;1-6;1.0;Single pitched roof;2845.0;m2 GFA;;650.0;New Standard;No data;No data;frame concrete;compare different refurbishment strategies over a reference period of 60 years;other;1m2 energy reference area per year;60.0;SimaPro;Ecoinvent;v2.2;No data;ISO 14040 and 14044 and EN 15980;Process-based;Yes;Yes;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;No;No;Yes;Yes;Yes;184.24;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.2;46.7222884386174;53.2777115613826;;;;;;;;;;;;;;;;;;;;;;;
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Hotel & Resort;No data;New Built;2018.0;2015-2019;275.0;Other;9419.0;5001-10000;5.0;1-6;1.0;Flat roof;;No data;;;New Standard;B;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;substracted (credit);No data;No data;No data;No data;No data;No data;81.26;No data;No data;10766520.0;1143.06401953498;39150.9818181818;10139785.1;94.178853519986;Concrete w/o reinforcement;8161650.0;Stone (granite, limestone, etc);628154.4;Ceramics (e.g., fired clay bricks);493126.7;Steel (reinforcement);485072.0;Cement mortar, plaster;371782.0;;;;39.4714937891495;52.3544643805074;;866.509183565134;;;;;;;51.4993099055101;66.6901369572141;;;;;;;;866.509183565134;52.3544643805074;;;51.4993099055101;106.16163074636358;51.4993099055101;1025.025278692;;;51.4993099055101;905.980677354283;119.044601337721;;;5.22;;;5.22;;0.94;19.82;;;5.22;;0.94;19.82;;;6.16;178.789745454545;178.789745454545;32.1958545454545;678.853018181818;;;;;;34.25090909090909
10.1016/j.enbuild.2016.04.010;"Passer, A
Ouellet-Plamondon, C
P. Kenneally, P
V. John, V
G. Habert, G";2016;The impact of future scenarios on building refurbishment strategies towards plus energy buildings;Energy and Buildings;Austria;AT;Kapfenberg, Styria, Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;Existing building;In use;1961.0;1960-1964;;Other;2845.0;1-5000;4.0;1-6;1.0;Single pitched roof;2845.0;m2 GFA;;650.0;New Standard;No data;No data;frame concrete;compare different refurbishment strategies over a reference period of 60 years;other;1m2 energy reference area per year;60.0;SimaPro;Ecoinvent;v2.2;No data;ISO 14040 and 14044 and EN 15981;Process-based;Yes;Yes;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;not in scope;Yes;No;No;Yes;Yes;Yes;184.24;No data;No data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.7;46.3035019455253;53.69649805447471;;;;;;;;;;;;;;;;;;;;;;;
No data;No data;No data;No data;No data;Austria;AT;No data;No data;No data;Western Europe;Non-residential;Office;No data;New Built;2017.0;2015-2019;550.0;Other;11080.67;10001-15000;9.0;7-14;3.0;Flat roof;;No data;;;New Standard;A;Detailed design;massive concrete;No data;No data;No data;50.0;Other;Oekobau.dat;No data;No data;No data;No data;Yes;Yes;Yes;Yes;No;No;No data;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;substracted (credit);No data;No data;No data;No data;No data;No data;122.07;No data;No data;12621202.0;1139.02877714073;22947.64;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.3;;;5.3;;2.37;30.4;;;5.3;;2.37;30.4;;;7.67;106.777365454545;106.777365454545;47.7476143636363;612.45885090909;;;;;;20.146672727272726
10.1007/s11367-012-0435-6;A. Passer, H. Kreiner, P. Maydl;2012;Assessment of the environmental performance of buildings: A critical evaluation of the influence of technical building equipment on residential buildings ;The International Journal of Life Cycle Assessment;Austria;AT;Austria;(D) Continental;No data;Western Europe;Residential;Multi-family house;New construction;New Built;;No data;;Other;;No data;;No data;;No data;1351.0;m2 NFA;;;New Advanced;No data;No data;No data;Complete LCA;m2 NFA;No data;50.0;Other;Ecoinvent;v2.1;No data;CML 2001, cumulative energy demand, CEN/TC 350, prEN 15643-2, FprEN 15978, ISO 14040;Process-based;Yes;Yes;No data;Yes;Yes;No data;No data;No data;No data;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;not in scope;Yes;No;No;Yes;Yes;Yes;109.6;No data;Statistic data;;;;;;No data;;No data;;No data;;No data;;No data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.56;30.60428849902534;69.39571150097467;8.48;;;28.48;1.63;;8.48;;;28.48;1.63;;10.11;;;;;;;;;;
